City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Roald,NO,62.5833,6.1333,40.33,93,0,10.36,clear sky
141,Sur,OM,22.5667,59.5289,81.88,35,35,7.76,scattered clouds
142,Kavieng,PG,-2.5744,150.7967,82.63,72,95,5.35,light rain
143,Hobart,AU,-42.8794,147.3294,55.26,69,40,14.97,scattered clouds
144,Nemuro,JP,43.3236,145.575,30.49,47,1,19.22,clear sky
145,Carnarvon,AU,-24.8667,113.6333,73.49,67,1,19.04,clear sky
146,Souillac,MU,-20.5167,57.5167,82.78,57,40,13.8,scattered clouds
147,Pokhara,NP,28.2333,83.9833,70.86,49,0,6.04,clear sky
148,Leningradskiy,RU,69.3833,178.4167,21.78,86,100,9.53,overcast clouds
149,San Cristobal,VE,7.7669,-72.225,62.29,94,48,4.36,scattered clouds
150,Figueiro,PT,41.2992,-8.1678,48.29,91,0,4.72,clear sky
151,Fukue,JP,32.6881,128.8419,44.96,57,75,13.8,broken clouds
152,Yessentukskaya,RU,44.0328,42.8813,32.22,87,100,14.47,overcast clouds
153,Zhireken,RU,52.8249,117.3076,-19.05,98,92,0.43,overcast clouds
154,Rincon,US,32.296,-81.2354,52.86,54,0,6.91,clear sky
155,Severo-Kurilsk,RU,50.6789,156.125,27.34,80,82,13.44,snow
156,Sao Filipe,CV,14.8961,-24.4956,74.7,65,100,8.88,overcast clouds
157,Sitka,US,57.0531,-135.33,26.49,46,100,4.61,overcast clouds
158,Odweyne,SO,9.4092,45.064,80.53,26,0,4.9,clear sky
159,Bluff,NZ,-46.6,168.3333,50.81,67,71,20.94,broken clouds
160,Tessalit,ML,20.1986,1.0114,74.89,17,98,1.25,overcast clouds
161,Koumac,NC,-20.5667,164.2833,82.54,76,100,3.62,overcast clouds
162,Nouadhibou,MR,20.931,-17.0347,63.93,59,4,15.73,clear sky
163,Skelleftea,SE,64.7507,20.9528,26.96,100,0,4.61,clear sky
164,Preobrazheniye,RU,42.9019,133.9064,13.06,50,32,16.22,scattered clouds
165,Herat,AF,34.5,62.0,49.23,59,100,11.48,overcast clouds
166,Portland,US,45.5234,-122.6762,41.52,92,100,10.36,light rain
167,Mizdah,LY,31.4451,12.9801,53.8,51,11,6.24,few clouds
168,Aguimes,ES,27.9054,-15.4461,65.03,56,40,9.22,scattered clouds
169,New Deer,GB,57.5123,-2.1884,44.04,1,100,13.53,light rain
170,Hami,CN,42.8,93.45,20.95,13,93,7.85,overcast clouds
171,Zhanaozen,KZ,43.3,52.8,34.03,17,38,13.8,scattered clouds
172,Saint-Philippe,RE,-21.3585,55.7679,81.99,76,47,9.64,light rain
173,Srednekolymsk,RU,67.45,153.6833,-11.27,98,100,13.67,light snow
174,Sabang,ID,5.8933,95.3214,81.95,70,79,5.19,broken clouds
175,Provideniya,RU,64.3833,-173.3,24.75,83,96,2.8,overcast clouds
176,Karratha,AU,-20.7377,116.8463,88.16,42,3,19.64,light rain
177,Mulanje,MW,-16.0316,35.5,79.97,47,77,2.24,light rain
178,Katsuura,JP,35.1333,140.3,54.16,84,100,16.71,overcast clouds
179,Coihaique,CL,-45.5752,-72.0662,44.55,65,20,2.3,few clouds
180,Iqaluit,CA,63.7506,-68.5145,-9.31,63,75,3.44,broken clouds
181,Sokolo,ML,14.7328,-6.1219,81.21,13,90,13.96,overcast clouds
182,Vitim,RU,59.4511,112.5578,-3.95,97,100,4.83,overcast clouds
183,Cabo San Lucas,MX,22.8909,-109.9124,72.52,79,4,7.11,clear sky
184,Kodiak,US,57.79,-152.4072,42.31,61,0,21.85,clear sky
185,The Valley,AI,18.217,-63.0578,79.11,65,0,18.05,clear sky
186,Puntarenas,CR,9.9763,-84.8384,73.67,84,76,4.09,broken clouds
187,Lazurne,UA,46.084,32.5295,43.25,77,100,22.55,overcast clouds
188,Togur,RU,58.3631,82.8265,-4.79,87,100,6.35,overcast clouds
189,Chambar,PK,25.2931,68.812,84.6,13,36,3.76,scattered clouds
190,Ketchikan,US,55.3422,-131.6461,19.87,63,0,5.75,clear sky
191,Trat,TH,12.5,102.5,93.4,69,95,11.14,overcast clouds
192,Marzuq,YE,14.4,46.4667,77.52,26,0,7.18,clear sky
193,Nikolskoye,RU,59.7035,30.7861,22.91,78,100,3.62,overcast clouds
194,Baruun-Urt,MN,46.6806,113.2792,-1.84,75,0,16.73,clear sky
195,Sibenik,HR,43.7272,15.9058,55.06,58,100,8.99,overcast clouds
196,Lawrenceburg,US,38.0373,-84.8966,27.68,78,0,4.61,clear sky
197,Garowe,SO,8.4054,48.4845,88.29,38,50,12.44,scattered clouds
198,Waddan,LY,29.1614,16.139,62.08,33,0,4.74,clear sky
199,Catuday,PH,16.2923,119.8062,82.4,75,98,8.37,overcast clouds
200,Xai-Xai,MZ,-25.0519,33.6442,81.54,54,21,11.59,few clouds
201,Adrar,MR,20.5022,-10.0711,68.79,14,17,11.27,few clouds
202,Codrington,AU,-38.2667,141.9667,55.6,83,13,11.39,few clouds
203,Salalah,OM,17.0151,54.0924,82.49,61,20,11.5,few clouds
204,Raga,SS,8.4596,25.678,92.41,30,100,3.49,overcast clouds
205,Canning,IN,22.3189,88.6714,84.22,27,4,8.79,clear sky
206,Mandera,KE,3.9366,41.867,89.78,39,84,9.66,broken clouds
207,Coahuayana,MX,18.7333,-103.6833,73.85,92,80,2.86,broken clouds
208,Perigueux,FR,45.1833,0.7167,41.07,76,25,7.65,scattered clouds
209,Banjar,ID,-8.19,114.9675,84.11,64,67,3.31,broken clouds
210,Gaya,IN,24.7833,85.0,78.71,44,0,0.0,haze
211,Kruisfontein,ZA,-34.0033,24.7314,74.88,45,69,9.42,broken clouds
212,Constitucion,CL,-35.3333,-72.4167,53.29,64,0,4.92,clear sky
213,Grand-Lahou,CI,5.1367,-5.0242,81.7,74,73,5.82,broken clouds
214,Karwar,IN,14.8,74.1333,85.53,44,4,8.97,clear sky
215,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,75,75,23.02,broken clouds
216,Dillon,US,34.4166,-79.3712,43.9,63,0,8.57,clear sky
217,Darhan,MN,49.4867,105.9228,-4.38,87,0,4.45,clear sky
218,Port Lincoln,AU,-34.7333,135.8667,64.63,63,0,12.86,clear sky
219,Tiksi,RU,71.6872,128.8694,-11.85,96,100,14.56,overcast clouds
220,Ostrovnoy,RU,68.0531,39.5131,28.26,95,100,7.96,overcast clouds
221,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,17.27,light rain
222,Sikeston,US,36.8767,-89.5879,31.89,80,0,0.0,clear sky
223,Upernavik,GL,72.7868,-56.1549,6.35,90,100,21.39,overcast clouds
224,Pangody,RU,65.85,74.4859,-9.67,96,42,7.05,scattered clouds
225,Nelson Bay,AU,-32.7167,152.15,66.99,75,100,7.0,moderate rain
226,Saint George,US,37.1041,-113.5841,37.99,48,0,4.61,clear sky
227,Namatanai,PG,-3.6667,152.4333,81.48,77,93,5.12,overcast clouds
228,Omboue,GA,-1.5746,9.2618,83.77,68,88,3.85,overcast clouds
229,Genhe,CN,50.7833,121.5167,-21.03,100,86,3.71,overcast clouds
230,Egvekinot,RU,66.3167,-179.1667,19.56,96,100,4.45,light snow
231,Mega,ET,4.05,38.3,75.31,29,61,20.45,broken clouds
232,Vila Velha,BR,-20.3297,-40.2925,75.15,97,75,9.22,thunderstorm with light rain
233,Grottaferrata,IT,41.7836,12.6757,51.91,69,0,5.75,clear sky
234,Alyangula,AU,-13.8483,136.4192,86.2,64,100,10.96,overcast clouds
235,Zhangye,CN,38.9342,100.4517,26.85,36,77,0.78,broken clouds
236,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.95,91,100,18.23,overcast clouds
237,Porto Novo,BJ,6.4965,2.6036,82.22,64,20,1.3,few clouds
238,Seoul,KR,37.5683,126.9778,29.59,43,0,6.91,clear sky
239,Narsaq,GL,60.9167,-46.05,28.62,89,69,5.06,broken clouds
240,Beringovskiy,RU,63.05,179.3167,32.83,97,100,16.22,light snow
241,Codo,BR,-4.4553,-43.8856,72.21,97,85,1.77,overcast clouds
242,Larap,PH,14.299,122.6504,79.07,89,99,13.53,moderate rain
243,San Quintin,MX,30.4833,-115.95,54.66,79,4,8.39,clear sky
244,Adamus,RO,46.3,24.2333,35.89,69,70,3.0,broken clouds
245,Saskylakh,RU,71.9167,114.0833,-34.49,99,40,4.74,scattered clouds
246,Victoria,HK,22.2855,114.1577,64.26,76,56,15.01,broken clouds
247,Kathu,TH,7.9178,98.3332,84.02,67,99,0.74,overcast clouds
248,La Rioja,ES,42.25,-2.5,31.78,83,40,3.78,scattered clouds
249,Pevek,RU,69.7008,170.3133,25.14,74,100,23.53,overcast clouds
250,Nizhniy Ufaley,RU,55.9153,59.9842,12.31,79,100,5.12,overcast clouds
251,Half Moon Bay,US,37.4636,-122.4286,52.75,80,100,16.11,overcast clouds
252,Tuktoyaktuk,CA,69.4541,-133.0374,-5.44,100,99,1.95,overcast clouds
253,Hargeysa,SO,9.56,44.065,73.53,42,0,9.66,clear sky
254,Bagaces,CR,10.5271,-85.2548,71.15,80,99,7.96,overcast clouds
255,Mossendjo,CG,-2.9506,12.7261,75.54,80,100,2.15,overcast clouds
256,Bambous Virieux,MU,-20.3428,57.7575,82.65,57,40,13.8,scattered clouds
257,Boa Vista,BR,2.8197,-60.6733,75.18,83,0,6.91,clear sky
258,Surab,PK,28.4914,66.2585,64.58,13,71,5.79,broken clouds
259,Meadow Lake,US,34.8014,-106.5436,43.12,53,0,5.17,clear sky
260,Strezhevoy,RU,60.7333,77.5889,-8.68,98,67,4.32,broken clouds
261,Yarada,IN,17.65,83.2667,89.92,48,20,11.5,haze
262,Avera,US,33.194,-82.5271,38.71,59,0,6.6,clear sky
263,Visby,SE,57.6409,18.296,37.62,93,20,8.05,few clouds
264,Buraydah,SA,26.326,43.975,68.45,30,62,6.13,broken clouds
265,Havelock,US,34.8791,-76.9013,48.18,51,0,11.5,clear sky
266,Mount Isa,AU,-20.7333,139.5,89.37,14,0,12.66,clear sky
267,Gushikawa,JP,26.3544,127.8686,67.23,77,100,14.97,overcast clouds
268,Acapulco,MX,16.8634,-99.8901,76.53,80,95,3.83,overcast clouds
269,Kununurra,AU,-15.7667,128.7333,98.58,15,83,3.44,broken clouds
270,Bethel,US,41.3712,-73.414,38.48,57,20,10.36,few clouds
271,Hay River,CA,60.8156,-115.7999,-13.02,70,40,11.5,scattered clouds
272,Tevaitoa,PF,-16.7833,-151.5,80.01,79,28,16.98,scattered clouds
273,Gore,NZ,-46.1028,168.9436,50.38,58,99,9.91,overcast clouds
274,Ziarat,PK,30.3823,67.7282,54.34,16,100,4.47,overcast clouds
275,Itapolis,BR,-21.5956,-48.8128,67.77,86,11,6.08,few clouds
276,Tautira,PF,-17.7333,-149.15,78.37,83,65,15.73,light rain
277,Copiapo,CL,-27.3667,-70.3333,56.89,89,9,2.59,clear sky
278,Sorland,NO,67.667,12.6934,40.86,71,39,8.48,scattered clouds
279,Piacabucu,BR,-10.4056,-36.4344,75.06,86,100,10.76,overcast clouds
280,Timiryazevskiy,RU,56.49,84.8769,5.95,79,70,4.29,broken clouds
281,Marienburg,PL,54.0359,19.0266,36.9,86,100,4.43,overcast clouds
282,Kolo,PL,52.2002,18.6387,32.18,84,100,8.99,overcast clouds
283,Makhachkala,RU,42.9764,47.5024,48.18,77,98,17.11,overcast clouds
284,Gamba,GA,-2.65,10.0,81.55,74,100,2.24,overcast clouds
285,Saldanha,ZA,-33.0117,17.9442,77.05,74,57,10.29,broken clouds
286,Kaniama,CD,-7.5667,24.1833,72.7,82,100,3.71,overcast clouds
287,Chernyshevskiy,RU,63.0128,112.4714,-15.68,92,100,8.66,overcast clouds
288,Rabo De Peixe,PT,37.8,-25.5833,58.51,98,40,8.05,scattered clouds
289,Torbay,CA,47.6666,-52.7314,31.57,91,40,10.36,scattered clouds
